scenario,env,method,config_name,seed,online_sample_ratio,pm_sb_lambda,tau_post,online_steps,final_success,best_peak_success,best_peak_step,drop,run_dir,decision,notes
scene,scene-play-singletask-task4-v0,ours,tune_paramsonly_stable_50k_normq_r0p1_lr1e-4_lam1e-3_tau0p3,2,0.1,1e-3,0.3,50000,0.0,0.85,1,-0.85,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_scene_ours_tune_paramsonly_stable_50k_normq_r0p1_lr1e-4_lam1e-3_tau0p3_seed2/o2o_smoke_scene_ours_tune_paramsonly_stable_50k_normq_r0p1_lr1e-4_lam1e-3_tau0p3_seed2/sd002_20260708_010951,rejected_collapse,Recovered or peaked but collapsed by final evaluation.
scene,scene-play-singletask-task4-v0,ours,tune_paramsonly_stable_step1_normq_r0p1_lr1e-4_lam1e-3_tau0p3,2,0.1,1e-3,0.3,1,0.65,0.65,0,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_scene_ours_tune_paramsonly_stable_step1_normq_r0p1_lr1e-4_lam1e-3_tau0p3_seed2/o2o_smoke_scene_ours_tune_paramsonly_stable_step1_normq_r0p1_lr1e-4_lam1e-3_tau0p3_seed2/sd002_20260708_010628,accepted_short_screen,Short-screen candidate retained; needs second seed and longer run before final selection.
scene,scene-play-singletask-task4-v0,ours,tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3,2,0.002,1e-3,0.3,50000,0.8,0.95,0,-0.1499999999999999,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_scene_ours_tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed2/o2o_smoke_scene_ours_tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed2/sd002_20260708_025116,accepted_short_screen,Short-screen candidate retained; needs second seed and longer run before final selection.
scene,scene-play-singletask-task4-v0,ours,tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3,3,0.002,1e-3,0.3,50000,0.0,0.0,0,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_scene_ours_tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed3/o2o_smoke_scene_ours_tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed3/sd003_20260708_032507,rejected_low_success,Low final and peak success under this setting.
scene,scene-play-singletask-task4-v0,ours,tune_rs_50k_normq_r0p01_lr3e-5_lam1e-3_tau0p3,2,0.01,1e-3,0.3,50000,0.2,0.85,1,-0.6499999999999999,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_scene_ours_tune_rs_50k_normq_r0p01_lr3e-5_lam1e-3_tau0p3_seed2/o2o_smoke_scene_ours_tune_rs_50k_normq_r0p01_lr3e-5_lam1e-3_tau0p3_seed2/sd002_20260708_021728,rejected_collapse,Recovered or peaked but collapsed by final evaluation.
scene,scene-play-singletask-task4-v0,ours,tune_rs_50k_normq_r0p0_lr3e-5_lam1e-3_tau0p3,2,0.0,1e-3,0.3,50000,0.6,0.75,1,-0.15000000000000002,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_scene_ours_tune_rs_50k_normq_r0p0_lr3e-5_lam1e-3_tau0p3_seed2/o2o_smoke_scene_ours_tune_rs_50k_normq_r0p0_lr3e-5_lam1e-3_tau0p3_seed2/sd002_20260708_014340,diagnostic_no_online_replay,No-online-replay control; useful for isolating collapse but not a final online setting.
scene,scene-play-singletask-task4-v0,ours,tune_rs_50k_normq_r0p1_lr1e-4_lam1e-3_tau0p3,2,0.1,1e-3,0.3,50000,0.0,0.9,1,-0.9,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_scene_ours_tune_rs_50k_normq_r0p1_lr1e-4_lam1e-3_tau0p3_seed2/o2o_smoke_scene_ours_tune_rs_50k_normq_r0p1_lr1e-4_lam1e-3_tau0p3_seed2/sd002_20260708_003131,rejected_collapse,Recovered or peaked but collapsed by final evaluation.
scene,scene-play-singletask-task4-v0,ours,tune_rs_50k_r0p1_lr1e-4_lam1e-3_tau0p3,2,0.1,1e-3,0.3,50000,0.0,0.85,0,-0.85,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_scene_ours_tune_rs_50k_r0p1_lr1e-4_lam1e-3_tau0p3_seed2/o2o_smoke_scene_ours_tune_rs_50k_r0p1_lr1e-4_lam1e-3_tau0p3_seed2/sd002_20260707_235507,rejected_collapse,Recovered or peaked but collapsed by final evaluation.
scene,scene-play-singletask-task4-v0,ours,tune_rs_50k_r0p5_lam1e-3_tau0p3,2,0.5,1e-3,0.3,50000,0.0,0.95,0,-0.95,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_scene_ours_tune_rs_50k_r0p5_lam1e-3_tau0p3_seed2/o2o_smoke_scene_ours_tune_rs_50k_r0p5_lam1e-3_tau0p3_seed2/sd002_20260707_231840,rejected_collapse,Recovered or peaked but collapsed by final evaluation.
scene,scene-play-singletask-task4-v0,ours,tune_rs_step0_r0p5_lam1e-3_tau0p3,2,0.5,1e-3,0.3,1,0.65,0.85,0,-0.19999999999999996,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_scene_ours_tune_rs_step0_r0p5_lam1e-3_tau0p3_seed2/o2o_smoke_scene_ours_tune_rs_step0_r0p5_lam1e-3_tau0p3_seed2/sd002_20260707_231443,accepted_short_screen,Short-screen candidate retained; needs second seed and longer run before final selection.
